epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.5655,1.58386,2.28208,2.13544,1.41329,0.01292,0.985,0.97407,0.59968,0.01305,0.995,0.97683,0.54896,1.24949,2.04792,2.53904,1.24921,0.00048,0.00048,0.00048
2,33.2551,1.06147,0.53018,1.09661,1.06372,0.93532,0.36153,0.74325,0.40805,0.93532,0.36153,0.74272,0.40004,1.48078,0.81518,2.44959,1.51475,0.000970298,0.000970298,0.000970298
3,46.1142,0.9138,0.5054,0.87651,0.99995,0.7516,0.565,0.69388,0.37425,0.7649,0.575,0.70265,0.36975,1.36009,0.6013,1.78818,1.36803,0.0014507,0.0014507,0.0014507
4,58.9231,0.91483,0.5168,0.80814,0.9993,0.89438,0.88912,0.95115,0.68319,0.88935,0.88412,0.95544,0.55224,0.86362,2.79156,1.01183,1.02763,0.00192119,0.00192119,0.00192119
5,71.7845,0.86922,0.47178,0.71274,0.9848,0.90068,0.865,0.92426,0.7062,0.90068,0.865,0.92521,0.68889,0.85669,0.42702,1.1977,1.1454,0.0019208,0.0019208,0.0019208
6,84.5685,0.81365,0.49195,0.62894,0.96988,0.99957,1,0.995,0.84413,0.99957,1,0.995,0.83215,0.64045,0.42655,0.46657,0.9427,0.001901,0.001901,0.001901
7,97.3761,0.72765,0.43125,0.54867,0.94328,1,0.99363,0.995,0.8549,1,0.99363,0.995,0.83891,0.63597,0.37854,0.5382,0.92781,0.0018812,0.0018812,0.0018812
8,110.069,0.74203,0.46362,0.52307,0.95359,0.98415,0.93131,0.98818,0.83423,0.98415,0.93131,0.98818,0.81862,0.63889,0.6631,0.63473,0.91863,0.0018614,0.0018614,0.0018614
9,122.856,0.67068,0.39955,0.47319,0.92598,0.98758,0.99,0.9948,0.84235,0.98758,0.99,0.9948,0.83917,0.65349,0.31139,0.42795,0.9207,0.0018416,0.0018416,0.0018416
10,135.665,0.70364,0.46642,0.48564,0.93319,0.99893,1,0.995,0.83931,0.99893,1,0.995,0.82562,0.65675,1.02632,0.39254,0.92277,0.0018218,0.0018218,0.0018218
11,148.557,0.64481,0.37494,0.44021,0.91844,0.99927,0.995,0.995,0.87904,0.99927,0.995,0.995,0.87072,0.5315,0.34542,0.3896,0.87573,0.001802,0.001802,0.001802
12,161.299,0.62055,0.41778,0.43339,0.90794,0.99761,0.995,0.995,0.88251,0.99761,0.995,0.995,0.85813,0.53379,0.31008,0.54561,0.87795,0.0017822,0.0017822,0.0017822
13,174.085,0.61476,0.36086,0.41024,0.91126,0.99506,0.97,0.98711,0.8694,0.99506,0.97,0.98711,0.89162,0.50787,0.29563,0.45027,0.88591,0.0017624,0.0017624,0.0017624
14,186.945,0.57864,0.38545,0.3945,0.89482,0.97592,0.98,0.99247,0.868,0.97592,0.98,0.99247,0.85667,0.56868,0.30427,0.37091,0.88388,0.0017426,0.0017426,0.0017426
